word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
清洁,捕鼠,灭蚤,大扫除,卫生,防蝇,灭蝇,粪便,打扫,灭蚊,保温
清洁,清扫,打扫,防蝇,洁净,整洁,灭蚊,室内外,街院,淋浴,大扫除
清洁,打扫,整洁,室内外,卫生,干干净净,食具,清扫,防蝇,刷牙,洁
清洁,清扫,防蝇,食具,打扫,整洁,吐痰,防鼠,洁净,饮食,卫生
清洁,邮递,司炉,勤杂,电话局,排字,浴室,自来水,清洁队,卖肉,上班
清洁,饮食,浴池,整洁,清扫,饮食店,室内外,浴室,旅店,打扫,大扫除
清洁,整洁,公共场所,清扫,井井有条,打扫,擦洗,干干净净,街巷,井然,粉刷
清洁,整洁,洁净,室内外,清扫,脏,干净,垃圾,清洁队,市容,厕所
清洁,整洁,洁净,舒适,清扫,无烟,脏,通风,厕所,煤气,垃圾
清洁,洁净,干净,整洁,保暖,清扫,舒适,淋浴,热水,密闭,消毒
清洁,洁净,干净,垃圾,整洁,清扫,污染,密闭,无烟,烟气,卫生
清洁,洁净,再生,节油,炉灶,选煤,节电,燃料,锅炉,节约,烟气
清洁,洁净,再生,燃料,绿色,循环,炉灶,照明,代用,电池,气体
清洁,洁净,再生,电能,绿色,照明,燃料,发电,节电,灰渣,炉灶
清洁,电能,再生,发电,洁净,取暖,煤,炉灶,绿色,燃料,锅炉
清洁,再生,电能,发电,电力,绿色,洁净,取暖,煤,节电,电站
